dataSetName,dataSetNumber,Lenght,Lambda,Neff,phaseShift
132,waveguide_smt_L1.0_LAM1130_Neff1.5_end.0-trans.2d_dat,1.0,1130,1.5,-2.03802097e+00
133,waveguide_smt_L1.0_LAM1130_Neff1.7_end.0-trans.2d_dat,1.0,1130,1.7,3.11111643e+00
134,waveguide_smt_L1.0_LAM1130_Neff1.9_end.0-trans.2d_dat,1.0,1130,1.9,1.95017987e+00
135,waveguide_smt_L1.0_LAM1130_Neff2.1_end.0-trans.2d_dat,1.0,1130,2.1,9.83030104e-01
136,waveguide_smt_L1.0_LAM1130_Neff2.3_end.0-trans.2d_dat,1.0,1130,2.3,-2.82732850e-01
137,waveguide_smt_L1.0_LAM1130_Neff2.5_end.0-trans.2d_dat,1.0,1130,2.5,-1.39508350e+00
138,waveguide_smt_L1.0_LAM1130_Neff2.7_end.0-trans.2d_dat,1.0,1130,2.7,-2.26832320e+00
139,waveguide_smt_L1.0_LAM1130_Neff2.9_end.0-trans.2d_dat,1.0,1130,2.9,2.55267698e+00
140,waveguide_smt_L1.0_LAM1140_Neff1.1_end.0-trans.2d_dat,1.0,1140,1.1,2.20462642e-01
141,waveguide_smt_L1.0_LAM1140_Neff1.3_end.0-trans.2d_dat,1.0,1140,1.3,-8.88657038e-01
142,waveguide_smt_L1.0_LAM1140_Neff1.5_end.0-trans.2d_dat,1.0,1140,1.5,-1.96702662e+00
143,waveguide_smt_L1.0_LAM1140_Neff1.7_end.0-trans.2d_dat,1.0,1140,1.7,-3.08118408e+00
144,waveguide_smt_L1.0_LAM1140_Neff1.9_end.0-trans.2d_dat,1.0,1140,1.9,2.03499551e+00
145,waveguide_smt_L1.0_LAM1140_Neff2.1_end.0-trans.2d_dat,1.0,1140,2.1,1.07792561e+00
146,waveguide_smt_L1.0_LAM1140_Neff2.3_end.0-trans.2d_dat,1.0,1140,2.3,-1.41231266e-01
147,waveguide_smt_L1.0_LAM1140_Neff2.5_end.0-trans.2d_dat,1.0,1140,2.5,-1.30146510e+00
148,waveguide_smt_L1.0_LAM1140_Neff2.7_end.0-trans.2d_dat,1.0,1140,2.7,-2.14245586e+00
149,waveguide_smt_L1.0_LAM1140_Neff2.9_end.0-trans.2d_dat,1.0,1140,2.9,2.73855737e+00
150,waveguide_smt_L1.0_LAM1150_Neff1.1_end.0-trans.2d_dat,1.0,1150,1.1,2.73181970e-01
151,waveguide_smt_L1.0_LAM1150_Neff1.3_end.0-trans.2d_dat,1.0,1150,1.3,-8.26470772e-01
152,waveguide_smt_L1.0_LAM1150_Neff1.5_end.0-trans.2d_dat,1.0,1150,1.5,-1.89760715e+00
153,waveguide_smt_L1.0_LAM1150_Neff1.7_end.0-trans.2d_dat,1.0,1150,1.7,-2.99204066e+00
154,waveguide_smt_L1.0_LAM1150_Neff1.9_end.0-trans.2d_dat,1.0,1150,1.9,2.12010227e+00
155,waveguide_smt_L1.0_LAM1150_Neff2.1_end.0-trans.2d_dat,1.0,1150,2.1,1.16811346e+00
156,waveguide_smt_L1.0_LAM1150_Neff2.3_end.0-trans.2d_dat,1.0,1150,2.3,1.61475801e-11
157,waveguide_smt_L1.0_LAM1150_Neff2.5_end.0-trans.2d_dat,1.0,1150,2.5,-1.20588526e+00
158,waveguide_smt_L1.0_LAM1150_Neff2.7_end.0-trans.2d_dat,1.0,1150,2.7,-2.02905632e+00
159,waveguide_smt_L1.0_LAM1150_Neff2.9_end.0-trans.2d_dat,1.0,1150,2.9,2.93723823e+00
160,waveguide_smt_L1.0_LAM1160_Neff1.1_end.0-trans.2d_dat,1.0,1160,1.1,3.24992343e-01
